TimeGenerated,Timestamp,DeviceName,ActionType,FileName,FolderPath,SHA256,SHA1,MD5,FileSize,InitiatingProcessFileName,InitiatingProcessAccountName,InitiatingProcessCommandLine,Type
2026-04-29T01:50:10Z,2026-04-29T01:50:10Z,WS-HR-03,FileModified,file_5051.png,C:\Users\vchen\Pictures,0f0e0536f0b387147fe99aca7b1d9e3a8ee4497413cbea0db7429d204aef5a7d,8a4919eca921a41e3c882696ecc166d8d0ee19f1,2daa372a6bd5ee7938512dcf2bb70a53,469105,code.exe,vchen,code.exe,DeviceFileEvents
2026-04-29T01:50:27Z,2026-04-29T01:50:27Z,SVR-DC-01,FileRenamed,file_7963.zip,C:\Users\kpatel\Downloads,f48e6257a7481409c8062b45235a8c9b4df37f11fb026eb6b8762156e28738e1,06c2bffc34143c505efb238f978a4071aa3746df,a62b032e399b3a882b1648b9338b3674,3214708,code.exe,kpatel,code.exe,DeviceFileEvents
2026-04-29T01:50:38Z,2026-04-29T01:50:38Z,WS-SUPPORT-01,FileCreated,file_6485.tmp,C:\Users\kpatel\AppData\Local\Temp,17de8833a2dc5451cf07d175e0a2b76251b5963a7e757aa8dade0dad9b9b7a93,8236fdf9e3ced7fe8a8504faecf9767fa84fd76c,4e67fb9392736872f4405a01f1b82905,1719913,explorer.exe,kpatel,explorer.exe,DeviceFileEvents
2026-04-29T01:51:17Z,2026-04-29T01:51:17Z,WS-OPS-02,FileDeleted,file_8015.xlsx,C:\Users\kdoyle\Documents,032d9a1da8b43be5d2eee7bd244bd56b5d9fd8986b8464ca637d0a996d175d45,fb3e3da6df865264500112e42be163b942eef631,0897086b81c5a9ab94f45b7323bf348f,3042262,OneDrive.exe,kdoyle,OneDrive.exe,DeviceFileEvents
2026-04-29T01:51:49Z,2026-04-29T01:51:49Z,WS-OPS-01,FileModified,file_1907.zip,C:\Users\rrivera\Downloads,e35c9ecc395f1570374d1df53a6c2b67f36ba855874b6833c4b86613f06797cb,9ec3cb6d9fa0fc37fe482e310e192feec263d0bb,cf85b2ad47b951724bba6711cee61fd5,3295754,OneDrive.exe,rrivera,OneDrive.exe,DeviceFileEvents
2026-04-29T01:52:18Z,2026-04-29T01:52:18Z,WS-HR-03,FileCreated,expenses.pdf,C:\Users\mholmes\Downloads,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000,00000000000000000000000000000000,2452631,chrome.exe,mholmes,chrome.exe,DeviceFileEvents
2026-04-29T01:52:30Z,2026-04-29T01:52:30Z,SVR-DC-01,FileDeleted,file_5940.cache,C:\Users\phopkins\AppData\Local\Microsoft\Windows\INetCache,911b766672ece7935c71d320dfd99ee30a540e97d0827be6ef56257ecaeadeec,29a08a7b15cb5c4c7a97533a26b454a7aaec0ba5,014c885acd5763909446af0d6e02181c,4145037,svchost.exe,phopkins,svchost.exe,DeviceFileEvents
2026-04-29T01:54:24Z,2026-04-29T01:54:24Z,LAP-SALES-03,FileRenamed,file_8402.log,C:\Windows\Temp,64581751fcebe5565cde8e30c7a7821fc4d1f4950ea59e07299137abd63581ee,f5b26f2946eee2596c67453e3aa7dbd48b88f596,89bd50469c7c68172b0c853ef231685b,2566927,code.exe,jharris,code.exe,DeviceFileEvents
2026-04-29T01:54:27Z,2026-04-29T01:54:27Z,LAP-SALES-04,FileCreated,file_4321.cache,C:\Users\jharris\AppData\Local\Microsoft\Windows\INetCache,6736c46e7c90175330328aad1daa09270be27af986c3c5591dc4b28b81311e16,cd0d2eed51683f219e034fd81af18e47a56d7c40,7986fe67fbb0da6b8c72ca1aeeed0131,1418242,OneDrive.exe,jharris,OneDrive.exe,DeviceFileEvents
2026-04-29T01:54:36Z,2026-04-29T01:54:36Z,WS-OPS-01,FileModified,file_7631.cache,C:\Users\sthompson\AppData\Local\Microsoft\Windows\INetCache,9290005eb9e9ef5d2f2d89fad6880cc9808446bb4cb064df11d91d5314bad9aa,7879240ac861da26533c01e8155d61e816a16dff,6e66e8f03387b6769044cd7293793871,1206004,chrome.exe,sthompson,chrome.exe,DeviceFileEvents
