TimeGenerated,Timestamp,DeviceName,DeviceId,AccountName,AccountDomain,FileName,FolderPath,ProcessCommandLine,ProcessId,SHA256,SHA1,MD5,FileSize,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessCommandLine,InitiatingProcessId,InitiatingProcessAccountName,InitiatingProcessSHA256,InitiatingProcessSignatureStatus,InitiatingProcessSignerType,ProcessIntegrityLevel,ProcessTokenElevation,Type
2026-04-29T03:29:31Z,2026-04-29T03:29:31Z,WS-IT-01,dev-ws-it-01,olopez,CORP,taskhostw.exe,C:\Windows\System32,taskhostw.exe,6459,f67e895451c70f27e02cdd6aafcb3d29a59061e10fbc8b36481b35c1fc49d908,f2ca510c11cd1a2ec56bc654970ad536f3d5e803,75929e05a6d734b8c81e06ecd5eeccf4,1736444,services.exe,C:\Windows,C:\Windows\services.exe,1875,olopez,36d3bb7b077c2a748662216c43f19d692004b9c6656741247749d30200f7b512,Microsoft,Microsoft,Medium,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:29:33Z,2026-04-29T03:29:33Z,WS-IT-01,dev-ws-it-01,kpatel,CORP,SearchHost.exe,C:\Windows\System32,SearchHost.exe,1072,201369d1b688d0721f6fc22ec7b6c511c12bc12dc73c078300bf743fd36ed756,57ccec60d824f6e5e75ba2a7d2d8a3f41d69ac54,9a1e1f0750f62ab3c4ebed598e21f4b2,795117,chrome.exe,C:\Windows,C:\Windows\chrome.exe,757,kpatel,2f0b6d2639392713c6d95b5763ce805d317c21e098ac6ebbfb8548b6a85213d3,Valid,Microsoft,Medium,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:29:57Z,2026-04-29T03:29:57Z,WS-HR-03,dev-ws-hr-03,rmorales,CORP,OUTLOOK.EXE,C:\Program Files,OUTLOOK.EXE,1262,a7dfc181871fc709a512accf6b7808bbabdd79f517daf41b3cbae26ebd91900f,c64192216c02f1029b44c0d74f29fdb07de8f020,9a4223f9c77ecb3c9cca081900b23729,3022185,explorer.exe,C:\Windows,C:\Windows\explorer.exe,2551,rmorales,b2cb5108c86d4b91f347008a118c654e4801fe6a97b833bf817e513a91948317,Unsigned,Microsoft,Medium,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:30:13Z,2026-04-29T03:30:13Z,SVR-DC-01,dev-svr-dc-01,sthompson,CORP,Teams.exe,C:\Program Files,Teams.exe,2097,1c9d84f7e5845d582457e4226634bbf40f62c3b5a9be0fcaef57503da6720bc3,633573ce8fd59427995b57ffc985c94ec87cb63a,36f53e354f8750df449db62fae81d5b2,1918794,RuntimeBroker.exe,C:\Windows,C:\Windows\RuntimeBroker.exe,6930,sthompson,8e89bd520c0d9ca877d5fc4fa5628f461a7e6a8b8965fd4b64e450bca9f673a1,Microsoft,Microsoft,Medium,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:30:15Z,2026-04-29T03:30:15Z,WS-IT-02,dev-ws-it-02,lwoods,CORP,OneDrive.exe,C:\Program Files,OneDrive.exe,2048,cf1d65e0d1ab30010eb3db245f5c4147b2143357b815d86089b19741dc8701bc,c201fbdd93849c7c844b53e3e077be69d58a751c,ce75ff705bebdf684c2e351bce744d53,966702,code.exe,C:\Windows,C:\Windows\code.exe,4970,lwoods,f7b83e9710fbcde05b2286cc9183c86a850fcc945c41b119537910f9aef256a9,Microsoft,Microsoft,Medium,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:30:23Z,2026-04-29T03:30:23Z,WS-MKT-01,dev-ws-mkt-01,rmorales,CORP,chrome.exe,C:\Program Files,chrome.exe,2850,91edb2b17ffd80c88674ed7ef2a66fab50e83236fd826828ec916a5cafd974b7,5377135530514476f289685bb2d359fb10c20a6a,63d6537577a5b21deccf61090af48565,3584418,svchost.exe,C:\Windows,C:\Windows\svchost.exe,8982,rmorales,22af57b7befaffef43e735235b42d2049dfe2f743f52a5b0590273ad069a39a8,Valid,Microsoft,System,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:30:51Z,2026-04-29T03:30:51Z,WS-OPS-02,dev-ws-ops-02,lwoods,CORP,chrome.exe,C:\Program Files,chrome.exe,8285,5c934f09ff3c32dd522eb5c1a4c504905cb6e05dfd9afc66fdbfd11ff79f2a9a,636766f5d4edc21de6529924ac7665b54e3c5e09,e529242d5c1c561d02c9f8e7999de57f,1864348,explorer.exe,C:\Windows,C:\Windows\explorer.exe,7796,lwoods,4479169a0a4efed6b326956a09a4e041681d571505743a9a0794df2fdc88b4b0,Unsigned,Microsoft,Low,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:30:57Z,2026-04-29T03:30:57Z,SVR-WEB-01,dev-svr-web-01,kpatel,CORP,Teams.exe,C:\Program Files,Teams.exe,1476,41c64d275f046704762f8e99ba7e022d074209e1a428b0495e10a07582aa6473,c23f2d3d7043b0ea5e81123fffaee4b6dfb9c468,b399b4974f47b52af40334e35d6c44e1,2403429,svchost.exe,C:\Windows,C:\Windows\svchost.exe,108,kpatel,6d894a529ff3a7d1a83346454ddd20120bf415f5d0bf323ef395e3bf8356d7f9,Valid,Microsoft,Low,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:31:22Z,2026-04-29T03:31:22Z,WS-OPS-02,dev-ws-ops-02,ehernandez,CORP,msedge.exe,C:\Program Files,msedge.exe,9818,48d63b511aeef6b4c0fce09850116f46635d0d74213be903286e9c14e503a4b2,687b0d4e9a9dceab0dee85da20ebc4ae61452524,374e3470b42c6ca0bc80f9150a6b949b,3581188,chrome.exe,C:\Windows,C:\Windows\chrome.exe,5913,ehernandez,a00e7e9ef81e896395c25a6fd8db66b70c19fd5a7199322c46a3e930a10e1d79,Microsoft,Microsoft,Medium,TokenElevationTypeDefault,DeviceProcessEvents
2026-04-29T03:31:40Z,2026-04-29T03:31:40Z,WS-OPS-01,dev-ws-ops-01,agarcia,CORP,explorer.exe,C:\Windows\System32,explorer.exe,3091,c01a41cbb6070c78791fec79a9fca46472d3defee548066d40626e50880a1f17,fbfee4b992187e842279e4d9dda4d4de4d8468e0,5c84dc99fc8e788be61196b5424964da,1209462,services.exe,C:\Windows,C:\Windows\services.exe,4582,agarcia,41b9c03050ce6b5c607d6e02fa7f3beda0460590d91b95c849dd3505089294da,Microsoft,Microsoft,High,TokenElevationTypeDefault,DeviceProcessEvents
