TimeGenerated,DisplayName,AlertName,AlertSeverity,Description,ProviderName,VendorName,ProductName,SystemAlertId,AlertType,Status,ConfidenceLevel,ConfidenceScore,IsIncident,StartTime,EndTime,Entities,Tactics,Techniques,ProcessingEndTime,Type
2026-04-29T13:15:00Z,Brute force attempt against Bryce,Brute force attempt against Bryce,High,Detected Brute force attempt against Bryce,Azure Sentinel,Microsoft,Microsoft Defender,alert-001,BruteforceattemptagainstBryce,New,High,0.95,0,2026-04-29T13:15:00Z,2026-04-29T13:20:00Z,"[{""Type"": ""account"", ""Name"": ""bryce""}, {""Type"": ""ip"", ""Address"": ""198.51.100.55""}]",CredentialAccess,T1110.001,2026-04-29T13:16:00Z,SecurityAlert
2026-04-29T13:32:00Z,Suspicious encoded PowerShell,Suspicious encoded PowerShell,High,Detected Suspicious encoded PowerShell,Microsoft Defender,Microsoft,Microsoft Defender,alert-002,SuspiciousencodedPowerShell,New,High,0.95,0,2026-04-29T13:32:00Z,2026-04-29T13:37:00Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}, {""Type"": ""account"", ""Name"": ""dchen""}]","Execution,DefenseEvasion","T1059.001,T1027",2026-04-29T13:33:00Z,SecurityAlert
2026-04-29T13:45:00Z,Persistence via Run key,Persistence via Run key,Medium,Detected Persistence via Run key,Microsoft Defender,Microsoft,Microsoft Defender,alert-003,PersistenceviaRunkey,New,High,0.95,0,2026-04-29T13:45:00Z,2026-04-29T13:50:00Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Persistence,T1547.001,2026-04-29T13:46:00Z,SecurityAlert
2026-04-28T17:31:55Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-100,First-timeprocess,New,High,0.95,0,2026-04-28T17:31:55Z,2026-04-28T17:36:55Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-28T17:32:55Z,SecurityAlert
2026-04-28T14:55:56Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-101,First-timeprocess,New,High,0.95,0,2026-04-28T14:55:56Z,2026-04-28T15:00:56Z,"[{""Type"": ""host"", ""HostName"": ""SVR-WEB-01""}]",Discovery,T1083,2026-04-28T14:56:56Z,SecurityAlert
2026-04-29T04:26:33Z,Outbound to unusual port,Outbound to unusual port,Low,Detected Outbound to unusual port,Microsoft Defender,Microsoft,Microsoft Defender,alert-102,Outboundtounusualport,New,High,0.95,0,2026-04-29T04:26:33Z,2026-04-29T04:31:33Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",Discovery,T1083,2026-04-29T04:27:33Z,SecurityAlert
2026-04-29T07:16:13Z,Outbound to unusual port,Outbound to unusual port,Low,Detected Outbound to unusual port,Microsoft Defender,Microsoft,Microsoft Defender,alert-103,Outboundtounusualport,New,High,0.95,0,2026-04-29T07:16:13Z,2026-04-29T07:21:13Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-29T07:17:13Z,SecurityAlert
2026-04-28T13:38:09Z,Anomalous file download,Anomalous file download,Low,Detected Anomalous file download,Microsoft Defender,Microsoft,Microsoft Defender,alert-104,Anomalousfiledownload,New,High,0.95,0,2026-04-28T13:38:09Z,2026-04-28T13:43:09Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-28T13:39:09Z,SecurityAlert
2026-04-28T16:48:26Z,Anomalous file download,Anomalous file download,Informational,Detected Anomalous file download,Microsoft Defender,Microsoft,Microsoft Defender,alert-105,Anomalousfiledownload,New,High,0.95,0,2026-04-28T16:48:26Z,2026-04-28T16:53:26Z,"[{""Type"": ""host"", ""HostName"": ""WS-DEV-02""}]",Discovery,T1083,2026-04-28T16:49:26Z,SecurityAlert
2026-04-29T01:04:34Z,First-time process,First-time process,Low,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-106,First-timeprocess,New,High,0.95,0,2026-04-29T01:04:34Z,2026-04-29T01:09:34Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",Discovery,T1083,2026-04-29T01:05:34Z,SecurityAlert
2026-04-29T07:58:26Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-107,First-timeprocess,New,High,0.95,0,2026-04-29T07:58:26Z,2026-04-29T08:03:26Z,"[{""Type"": ""host"", ""HostName"": ""WS-HR-03""}]",Discovery,T1083,2026-04-29T07:59:26Z,SecurityAlert
2026-04-28T15:41:37Z,Outbound to unusual port,Outbound to unusual port,Low,Detected Outbound to unusual port,Microsoft Defender,Microsoft,Microsoft Defender,alert-108,Outboundtounusualport,New,High,0.95,0,2026-04-28T15:41:37Z,2026-04-28T15:46:37Z,"[{""Type"": ""host"", ""HostName"": ""WS-FINANCE-01""}]",Discovery,T1083,2026-04-28T15:42:37Z,SecurityAlert
2026-04-29T11:53:45Z,First-time process,First-time process,Informational,Detected First-time process,Microsoft Defender,Microsoft,Microsoft Defender,alert-109,First-timeprocess,New,High,0.95,0,2026-04-29T11:53:45Z,2026-04-29T11:58:45Z,"[{""Type"": ""host"", ""HostName"": ""SVR-DC-01""}]",Discovery,T1083,2026-04-29T11:54:45Z,SecurityAlert
