TimeGenerated,DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,DeviceAction,ApplicationProtocol,SourceIP,SourcePort,DestinationIP,DestinationPort,Protocol,SimplifiedDeviceAction,Computer,Type
2026-04-29T04:52:27Z,Cisco,ASA,9.16,100,Traffic,Low,allow,https,10.39.112.203,53829,151.101.1.69,443,TCP,allow,fw-edge-02,CommonSecurityLog
2026-04-29T04:53:05Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,dns,172.25.97.156,59166,10.189.16.23,53,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:53:05Z,Fortinet,FortiGate,7.2,100,Traffic,Low,allow,https,203.0.113.30,55644,157.240.22.35,443,TCP,allow,fw-perim-01,CommonSecurityLog
2026-04-29T04:53:10Z,Fortinet,FortiGate,7.2,100,Traffic,Low,allow,https,10.150.255.104,50800,142.250.80.46,443,TCP,allow,fw-perim-01,CommonSecurityLog
2026-04-29T04:53:10Z,Cisco,ASA,9.16,100,Traffic,Low,allow,https,192.168.193.156,59287,10.220.2.175,443,TCP,allow,fw-edge-02,CommonSecurityLog
2026-04-29T04:53:21Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,172.16.167.86,63149,157.240.22.35,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:53:44Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,dns,10.74.107.207,59880,52.96.165.18,53,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:53:57Z,Cisco,ASA,9.16,100,Traffic,Low,allow,https,172.217.14.110,54579,203.0.113.20,443,TCP,allow,fw-edge-02,CommonSecurityLog
2026-04-29T04:54:09Z,Cisco,ASA,9.16,100,Traffic,High,drop,dns,151.101.1.69,57390,10.123.129.164,53,TCP,drop,fw-edge-02,CommonSecurityLog
2026-04-29T04:54:16Z,Cisco,ASA,9.16,100,Traffic,Low,allow,https,172.25.197.23,62123,203.0.113.10,443,TCP,allow,fw-edge-02,CommonSecurityLog
2026-04-29T04:54:21Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,172.31.86.70,49774,104.18.32.115,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:54:37Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,dns,172.27.42.134,62819,157.240.22.35,53,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:55:06Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,23.40.44.17,52477,23.40.44.17,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:55:20Z,Fortinet,FortiGate,7.2,100,Traffic,Low,allow,https,172.24.240.108,55819,52.96.165.18,443,TCP,allow,fw-perim-01,CommonSecurityLog
2026-04-29T04:55:31Z,Cisco,ASA,9.16,100,Traffic,High,drop,http,10.1.46.199,54393,151.101.1.69,80,TCP,drop,fw-edge-02,CommonSecurityLog
2026-04-29T04:55:34Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.15.3.161,51550,10.186.77.56,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:55:40Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,dns,10.34.149.197,50642,10.40.85.125,53,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:55:47Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.17.57.47,57176,142.250.80.46,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:56:21Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.7.3.179,60383,10.40.237.97,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:57:23Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,172.217.14.110,56318,104.18.32.115,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:57:45Z,Fortinet,FortiGate,7.2,100,Traffic,Medium,deny,https,10.145.252.78,52873,40.99.4.34,443,TCP,deny,fw-perim-01,CommonSecurityLog
2026-04-29T04:57:51Z,Cisco,ASA,9.16,100,Traffic,High,drop,https,10.5.68.124,57491,192.168.16.217,443,TCP,drop,fw-edge-02,CommonSecurityLog
2026-04-29T04:58:34Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,172.16.103.73,55008,40.99.4.34,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:58:44Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.109.91.68,53701,23.40.44.17,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T04:59:15Z,Fortinet,FortiGate,7.2,100,Traffic,Low,allow,https,10.184.75.168,52044,151.101.1.69,443,TCP,allow,fw-perim-01,CommonSecurityLog
2026-04-29T05:00:23Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,172.21.110.43,50022,203.0.113.40,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T05:00:23Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.221.239.204,53598,203.0.113.20,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T05:00:49Z,Fortinet,FortiGate,7.2,100,Traffic,Low,allow,https,10.131.86.111,54743,142.250.80.46,443,TCP,allow,fw-perim-01,CommonSecurityLog
2026-04-29T05:00:52Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,157.240.22.35,55619,172.25.6.93,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T05:00:59Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,157.240.22.35,57653,10.163.1.136,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T05:01:12Z,Fortinet,FortiGate,7.2,100,Traffic,Low,allow,https,10.31.119.201,63444,104.18.32.115,443,TCP,allow,fw-perim-01,CommonSecurityLog
2026-04-29T05:01:20Z,Cisco,ASA,9.16,100,Traffic,Low,allow,https,23.40.44.17,62020,203.0.113.30,443,TCP,allow,fw-edge-02,CommonSecurityLog
2026-04-29T05:01:33Z,Cisco,ASA,9.16,100,Traffic,Low,allow,ssh,10.164.167.184,65455,20.232.97.97,22,TCP,allow,fw-edge-02,CommonSecurityLog
2026-04-29T05:01:55Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.70.95.145,60981,172.23.66.3,443,TCP,allow,fw-edge-01,CommonSecurityLog
2026-04-29T05:02:07Z,Palo Alto Networks,PAN-OS,1.0,100,Traffic,Low,allow,https,10.218.100.218,55009,10.20.186.8,443,TCP,allow,fw-edge-01,CommonSecurityLog
