TimeGenerated,EventTime,Computer,HostName,HostIP,Facility,SeverityLevel,ProcessName,ProcessID,SyslogMessage,CollectorHostName,Type
2026-04-28T23:16:09Z,2026-04-28T23:16:09Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,auth,debug,apt,42165,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:16:23Z,2026-04-28T23:16:23Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,kern,notice,CRON,50525,(jenkins) CMD (test -x /usr/sbin/anacron || (cd / && run-parts --report /etc/cron.daily)),syslog-collector-01,Syslog
2026-04-28T23:17:30Z,2026-04-28T23:17:30Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,user,info,kernel,2084,TCP: request_sock_TCP: Possible SYN flooding on port 80. Sending cookies.,syslog-collector-01,Syslog
2026-04-28T23:17:45Z,2026-04-28T23:17:45Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,cron,info,sshd-session,47216,pam_unix(sshd:session): session closed for user postgres,syslog-collector-01,Syslog
2026-04-28T23:18:28Z,2026-04-28T23:18:28Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,user,info,sshd-session,26100,Accepted publickey for backup from 10.167.150.211 port 30915 ssh2: RSA SHA256:08d1c1b1,syslog-collector-01,Syslog
2026-04-28T23:19:04Z,2026-04-28T23:19:04Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,cron,info,snapd,65214,Started snap.snapd.service.,syslog-collector-01,Syslog
2026-04-28T23:19:37Z,2026-04-28T23:19:37Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,user,notice,CRON,7517,(www-data) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:19:48Z,2026-04-28T23:19:48Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,cron,info,kernel,38802,"audit: type=1400 audit(6099.6099:6099): apparmor=""DENIED"" operation=""open"" profile=""/usr/sbin/cupsd""",syslog-collector-01,Syslog
2026-04-28T23:20:14Z,2026-04-28T23:20:14Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,daemon,info,CRON,23557,(root) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:20:58Z,2026-04-28T23:20:58Z,SVR-DB-LX-01,SVR-DB-LX-01,10.0.30.20,auth,info,apt,3122,"Upgrading: openssl, libssl3",syslog-collector-01,Syslog
2026-04-28T23:21:03Z,2026-04-28T23:21:03Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,auth,info,apt,17936,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:21:20Z,2026-04-28T23:21:20Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,user,info,CRON,25483,(ubuntu) CMD (test -x /usr/sbin/anacron || (cd / && run-parts --report /etc/cron.daily)),syslog-collector-01,Syslog
2026-04-28T23:21:41Z,2026-04-28T23:21:41Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,kern,info,CRON,29372,(www-data) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:21:42Z,2026-04-28T23:21:42Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,auth,notice,sshd-session,51836,pam_unix(sshd:session): session closed for user jenkins,syslog-collector-01,Syslog
2026-04-28T23:22:04Z,2026-04-28T23:22:04Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,cron,info,CRON,31944,(postgres) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:23:34Z,2026-04-28T23:23:34Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,auth,info,systemd,25788,Stopped Session 6836 of user deploy.,syslog-collector-01,Syslog
2026-04-28T23:23:34Z,2026-04-28T23:23:34Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,auth,info,apt,52098,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:23:43Z,2026-04-28T23:23:43Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,kern,err,sshd-session,40547,Connection closed by 172.18.67.29 port 3283 [preauth],syslog-collector-01,Syslog
2026-04-28T23:25:14Z,2026-04-28T23:25:14Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,cron,info,systemd,33572,Started Session 4092 of user backup.,syslog-collector-01,Syslog
2026-04-28T23:25:27Z,2026-04-28T23:25:27Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,cron,info,snapd,52476,Started snap.snapd.service.,syslog-collector-01,Syslog
2026-04-28T23:25:48Z,2026-04-28T23:25:48Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,cron,info,systemd,38300,Started Session 7500 of user backup.,syslog-collector-01,Syslog
2026-04-28T23:25:48Z,2026-04-28T23:25:48Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,user,notice,systemd,18591,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:25:51Z,2026-04-28T23:25:51Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,cron,notice,systemd-resolved,4499,DNSSEC validation failed for question example.com IN A: signature-expired,syslog-collector-01,Syslog
2026-04-28T23:25:56Z,2026-04-28T23:25:56Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,auth,notice,sshd-session,12694,Connection closed by 10.101.132.174 port 49930 [preauth],syslog-collector-01,Syslog
2026-04-28T23:26:05Z,2026-04-28T23:26:05Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,auth,err,dbus-daemon,24076,[system] Successfully activated service 'org.freedesktop.systemd1',syslog-collector-01,Syslog
2026-04-28T23:26:26Z,2026-04-28T23:26:26Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,daemon,debug,sshd-session,64080,pam_unix(sshd:session): session closed for user root,syslog-collector-01,Syslog
2026-04-28T23:26:28Z,2026-04-28T23:26:28Z,SVR-DB-LX-01,SVR-DB-LX-01,10.0.30.20,user,warning,sshd-session,13275,Connection closed by 172.24.217.54 port 26185 [preauth],syslog-collector-01,Syslog
2026-04-28T23:26:36Z,2026-04-28T23:26:36Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,kern,info,CRON,38321,(deploy) CMD (/etc/munin/plugins/check-disk-2326 > /dev/null 2>&1),syslog-collector-01,Syslog
2026-04-28T23:27:20Z,2026-04-28T23:27:20Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,auth,warning,systemd,22128,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:28:14Z,2026-04-28T23:28:14Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,auth,info,CRON,5211,(deploy) CMD (test -x /usr/sbin/anacron || (cd / && run-parts --report /etc/cron.daily)),syslog-collector-01,Syslog
2026-04-28T23:28:17Z,2026-04-28T23:28:17Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,cron,info,CRON,7765,(www-data) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:28:22Z,2026-04-28T23:28:22Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,mail,info,systemd-resolved,58484,DNSSEC validation failed for question example.com IN A: signature-expired,syslog-collector-01,Syslog
2026-04-28T23:28:36Z,2026-04-28T23:28:36Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,cron,info,sshd-session,6474,Connection closed by 10.190.169.240 port 12608 [preauth],syslog-collector-01,Syslog
2026-04-28T23:28:45Z,2026-04-28T23:28:45Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,cron,info,CRON,6145,(root) CMD (find /tmp -mtime +7 -delete),syslog-collector-01,Syslog
2026-04-28T23:28:46Z,2026-04-28T23:28:46Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,cron,info,CRON,52718,(www-data) CMD (test -x /usr/sbin/anacron || (cd / && run-parts --report /etc/cron.daily)),syslog-collector-01,Syslog
2026-04-28T23:29:15Z,2026-04-28T23:29:15Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,daemon,notice,sshd-session,17406,Accepted publickey for root from 10.231.100.141 port 4515 ssh2: RSA SHA256:ec9c94f0,syslog-collector-01,Syslog
2026-04-28T23:29:31Z,2026-04-28T23:29:31Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,auth,info,dbus-daemon,51035,[system] Successfully activated service 'org.freedesktop.systemd1',syslog-collector-01,Syslog
2026-04-28T23:29:58Z,2026-04-28T23:29:58Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,user,info,systemd-resolved,54795,DNSSEC validation failed for question example.com IN A: signature-expired,syslog-collector-01,Syslog
2026-04-28T23:30:04Z,2026-04-28T23:30:04Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,auth,info,CRON,55905,(www-data) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:30:13Z,2026-04-28T23:30:13Z,SVR-DB-LX-01,SVR-DB-LX-01,10.0.30.20,mail,notice,sshd-session,4820,Accepted publickey for deploy from 10.105.192.195 port 33938 ssh2: RSA SHA256:0d9fa9c5,syslog-collector-01,Syslog
2026-04-28T23:30:13Z,2026-04-28T23:30:13Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,auth,info,snapd,59386,Connection from 10.182.224.139 closed,syslog-collector-01,Syslog
2026-04-28T23:31:02Z,2026-04-28T23:31:02Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,user,info,sshd-session,65104,Accepted publickey for deploy from 10.0.192.44 port 39530 ssh2: RSA SHA256:92c7c0c0,syslog-collector-01,Syslog
2026-04-28T23:31:06Z,2026-04-28T23:31:06Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,daemon,info,apt,41444,"Upgrading: openssl, libssl3",syslog-collector-01,Syslog
2026-04-28T23:31:24Z,2026-04-28T23:31:24Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,daemon,info,systemd,33468,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:31:35Z,2026-04-28T23:31:35Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,user,info,apt,9695,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:33:43Z,2026-04-28T23:33:43Z,SVR-DB-LX-01,SVR-DB-LX-01,10.0.30.20,cron,info,kernel,39100,[UFW BLOCK] IN=eth0 OUT= MAC=... SRC=10.12.134.9 DST=10.0.20.20 LEN=60 PROTO=TCP SPT=6802 DPT=22,syslog-collector-01,Syslog
2026-04-28T23:33:47Z,2026-04-28T23:33:47Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,kern,notice,dbus-daemon,54488,[system] Successfully activated service 'org.freedesktop.systemd1',syslog-collector-01,Syslog
2026-04-28T23:33:56Z,2026-04-28T23:33:56Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,kern,info,CRON,10547,(jenkins) CMD (/usr/lib/sysstat/sa1 1 1),syslog-collector-01,Syslog
2026-04-28T23:33:57Z,2026-04-28T23:33:57Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,cron,info,CRON,29518,(jenkins) CMD (/etc/munin/plugins/check-disk-9688 > /dev/null 2>&1),syslog-collector-01,Syslog
2026-04-28T23:35:20Z,2026-04-28T23:35:20Z,SVR-LINUX-01,SVR-LINUX-01,10.0.20.20,daemon,info,CRON,41154,(root) CMD (/etc/munin/plugins/check-disk-814 > /dev/null 2>&1),syslog-collector-01,Syslog
2026-04-28T23:35:46Z,2026-04-28T23:35:46Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,cron,info,sudo,42316,jenkins : TTY=pts/0 ; PWD=/home/jenkins ; USER=root ; COMMAND=/bin/systemctl status nginx,syslog-collector-01,Syslog
2026-04-28T23:36:05Z,2026-04-28T23:36:05Z,SVR-WEB-LX-01,SVR-WEB-LX-01,10.0.30.10,user,info,apt,36905,Started Daily apt download activities.,syslog-collector-01,Syslog
2026-04-28T23:36:09Z,2026-04-28T23:36:09Z,SVR-LINUX-02,SVR-LINUX-02,10.0.20.21,daemon,notice,CRON,37650,(root) CMD (/etc/munin/plugins/check-disk-7689 > /dev/null 2>&1),syslog-collector-01,Syslog
2026-04-28T23:36:38Z,2026-04-28T23:36:38Z,SVR-DB-LX-01,SVR-DB-LX-01,10.0.30.20,cron,warning,sshd-session,7996,Accepted publickey for root from 10.191.52.38 port 50043 ssh2: RSA SHA256:cdcd830b,syslog-collector-01,Syslog
