TimeGenerated,Date,Time,sSiteName,sComputerName,sIP,csMethod,csUriStem,csUriQuery,sPort,csUserName,cIP,csUserAgent,scStatus,scSubStatus,scWin32Status,scBytes,csBytes,TimeTaken,Computer,Type
2026-04-29T04:56:30Z,2026-04-29,04:56:30,W3SVC1,SVR-WEB-LX-01,10.0.30.10,GET,/api/v1/users,-,443,-,10.209.49.13,curl/7.81.0,200,0,0,16556,3925,2611,SVR-WEB-LX-01,W3CIISLog
2026-04-29T04:56:37Z,2026-04-29,04:56:37,W3SVC1,SVR-WEB-LX-01,10.0.30.10,GET,/static/app.js,-,443,-,10.74.186.143,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),200,0,0,12476,3227,866,SVR-WEB-LX-01,W3CIISLog
2026-04-29T04:58:11Z,2026-04-29,04:58:11,W3SVC1,SVR-WEB-LX-01,10.0.30.10,GET,/api/v1/login,-,443,-,192.168.249.93,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),401,0,0,29126,2030,923,SVR-WEB-LX-01,W3CIISLog
2026-04-29T04:58:50Z,2026-04-29,04:58:50,W3SVC1,SVR-WEB-01,10.0.20.10,POST,/static/main.css,-,443,-,172.23.254.128,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,200,0,0,37242,2427,4998,SVR-WEB-01,W3CIISLog
2026-04-29T04:58:53Z,2026-04-29,04:58:53,W3SVC1,SVR-WEB-01,10.0.20.10,GET,/logout,-,443,-,172.18.14.22,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),200,0,0,24691,3994,3403,SVR-WEB-01,W3CIISLog
2026-04-29T04:59:06Z,2026-04-29,04:59:06,W3SVC1,SVR-WEB-01,10.0.20.10,GET,/static/main.css,-,443,-,10.187.117.95,curl/7.81.0,200,0,0,27657,4629,4259,SVR-WEB-01,W3CIISLog
2026-04-29T04:59:17Z,2026-04-29,04:59:17,W3SVC1,SVR-WEB-01,10.0.20.10,GET,/admin/users,-,443,-,10.25.190.120,curl/7.81.0,403,0,0,39449,2017,281,SVR-WEB-01,W3CIISLog
2026-04-29T04:59:25Z,2026-04-29,04:59:25,W3SVC1,SVR-WEB-LX-01,10.0.30.10,POST,/.env,-,443,-,10.69.165.158,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,404,0,0,42167,3885,2815,SVR-WEB-LX-01,W3CIISLog
2026-04-29T05:00:32Z,2026-04-29,05:00:32,W3SVC1,SVR-WEB-01,10.0.20.10,POST,/,-,443,-,172.29.38.178,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,200,0,0,25668,4884,270,SVR-WEB-01,W3CIISLog
2026-04-29T05:00:39Z,2026-04-29,05:00:39,W3SVC1,SVR-WEB-LX-01,10.0.30.10,GET,/admin,-,443,-,10.38.83.141,python-requests/2.28.1,401,0,0,23850,3530,3354,SVR-WEB-LX-01,W3CIISLog
2026-04-29T05:00:45Z,2026-04-29,05:00:45,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/api/v1/users,-,443,-,10.19.85.48,curl/7.81.0,200,0,0,24739,3457,3662,SVR-WEB-02,W3CIISLog
2026-04-29T05:00:52Z,2026-04-29,05:00:52,W3SVC1,SVR-WEB-LX-01,10.0.30.10,GET,/.env,-,443,-,10.141.103.122,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),404,0,0,26920,448,2741,SVR-WEB-LX-01,W3CIISLog
2026-04-29T05:01:00Z,2026-04-29,05:01:00,W3SVC1,SVR-WEB-01,10.0.20.10,GET,/logout,-,443,-,199.232.65.69,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,200,0,0,28002,3334,4612,SVR-WEB-01,W3CIISLog
2026-04-29T05:01:01Z,2026-04-29,05:01:01,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/admin/users,-,443,-,10.122.217.10,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,403,0,0,3430,3574,1626,SVR-WEB-02,W3CIISLog
2026-04-29T05:02:17Z,2026-04-29,05:02:17,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/logout,-,443,-,10.45.88.231,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,200,0,0,43481,2988,1583,SVR-WEB-02,W3CIISLog
2026-04-29T05:02:59Z,2026-04-29,05:02:59,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/static/app.js,-,443,-,151.101.1.69,curl/7.81.0,200,0,0,46122,2055,3485,SVR-WEB-02,W3CIISLog
2026-04-29T05:03:09Z,2026-04-29,05:03:09,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/admin/users,-,443,-,23.40.44.17,Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X),403,0,0,48433,3459,208,SVR-WEB-02,W3CIISLog
2026-04-29T05:03:52Z,2026-04-29,05:03:52,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/static/app.js,-,443,-,172.25.38.96,curl/7.81.0,200,0,0,35674,4184,15,SVR-WEB-02,W3CIISLog
2026-04-29T05:03:57Z,2026-04-29,05:03:57,W3SVC2,SVR-WEB-02,10.0.20.11,GET,/admin,-,443,-,40.99.4.34,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,401,0,0,43649,3935,3213,SVR-WEB-02,W3CIISLog
